Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
8081,2000,2004,2000,2099,11.39,100.000%,161.06950,308.93,0.00,1964.0
总体,2000,2004,2000,2099,11.39,100.000%,161.06950,308.93,0.00,1964.0
